Stream,Color
Metadata Attribute,Value
Frame Counter,34
Frame Timestamp,1641365373
Actual Exposure,29841
Auto Exposure,1
Time Of Arrival,1615808006922
Backend Timestamp,1615808006891
Brightness,0
Contrast,50
Saturation,50
Sharpness,50
Auto White Balance Temperature,1
Backlight Compensation,128
Hue,0
Manual White Balance,4115
Power Line Frequency,0
Low Light Compensation,1
Raw Frame Size,1843200
